Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: p20stt06.csv,,,,,,,,,,,,,,,,,,,,,
"Table 6. Imprisonment rates of U.S. adults, based on sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and race or ethnicity, 2010–2020",,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2020 (preliminary), National Corrections Reporting Program, 2019, National Prisoner Statistics, 2010–2020, Survey of Inmates in State and Federal Correctional Facilities, 2004, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, postcensal resident population estimates for January 1 of the following calendar year",,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 6. Imprisonment rates of U.S. adults, based on sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and race or ethnicity, 2010–2020",,,,,,,,,,,,,,,,,,,,,
,,"Per 100,000 U.S. adults",,,,,,"Per 100,000 U.S. adults within each demographic group",,,,,,,,,,,,,
Year/a,,Total/b,,Federal/c,,State,,Male,,Female,,White/d,,Black/d,,Hispanic,,American Indian/Alaska Native/d,,"Asian/d,e",
2010,,656,,81,,576,,"1,260",,86,,311,,"2,044",,992,,"1,457",,139,
2011,,644,,82,,561,,"1,235",,84,,303,,"1,960",,976,,"1,363",,137,
2012,,627,,81,,545,,"1,202",,82,,296,,"1,866",,939,,"1,277",,132,
2013,,624,,80,,544,,"1,194",,83,,295,,"1,818",,935,,"1,160",,126,
2014,,613,,78,,535,,"1,171",,84,,290,,"1,749",,903,,"1,232",,125,
2015,,595,,72,,523,,"1,135",,82,,281,,"1,659",,871,,"1,172",,124,
2016,,583,,68,,514,,"1,110",,82,,275,,"1,599",,866,,"1,152",,122,
2017,,570,,66,,504,,"1,085",,81,,272,,"1,543",,837,,"1,183",,118,
2018,,556,,64,,491,,"1,056",,80,,268,,"1,488",,804,,"1,165",,116,
2019,,539,,62,,477,,"1,024",,77,,263,,"1,436",,763,,"1,175",,111,
2020,,459,,55,,404,,879,,60,,223,,"1,234",,639,,"1,027",,93,
Percent change,,,,,,,,,,,,,,,,,,,,,
,2010–2020,-30,%,-31.6,%,-29.8,%,-30.3,%,-30.1,%,-28.1,%,-39.6,%,-35.6,%,-29.5,%,-33.3,%
,2019–2020,-14.7,,-10.8,,-15.2,,-14.2,,-21.9,,-15.1,,-14.1,,-16.3,,-12.6,,-16.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Imprisonment rate is the number of sentenced prisoners age 18 or older under state or federal jurisdiction per 100,000 U.S. residents age 18 or older or per 100,000 U.S. residents age 18 or older in a given category. Rates are for December 31 of each year and are based on prisoners with a sentence of more than 1 year. Resident population estimates are from the U.S. Census Bureau for January 1 of the following year. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,,,,,,,,
"a/Total and state estimates for 2019 include imputed counts for Oregon, which did not submit 2019 National Prisoner Statistics data. See Methodology. Counts for 2018 and earlier may have been revised from previous reports.",,,,,,,,,,,,,,,,,,,,,
b/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,,,,,
c/Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities. ,,,,,,,,,,,,,,,,,,,,,
"d/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks). See Methodology.",,,,,,,,,,,,,,,,,,,,,
e/Includes Native Hawaiians and Other Pacific Islanders.,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2020 (preliminary), National Corrections Reporting Program, 2019, National Prisoner Statistics, 2010–2020, Survey of Inmates in State and Federal Correctional Facilities, 2004, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, postcensal resident population estimates for January 1 of the following calendar year.",,,,,,,,,,,,,,,,,,,,,
