Year,Race,MetricId,MedianIncome2024Dollars
2024,Black Alone,census-h5-median-hh-income-black-nation,56000
2024,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,89000
2023,Black Alone,census-h5-median-hh-income-black-nation,56500
2023,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,89500
2022,Black Alone,census-h5-median-hh-income-black-nation,57000
2022,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,90000
2021,Black Alone,census-h5-median-hh-income-black-nation,56800
2021,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,89200
2020,Black Alone,census-h5-median-hh-income-black-nation,56200
2020,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,88500
2019,Black Alone,census-h5-median-hh-income-black-nation,57500
2019,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,91000
2018,Black Alone,census-h5-median-hh-income-black-nation,56800
2018,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,90500
2017,Black Alone,census-h5-median-hh-income-black-nation,56000
2017,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,89800
2016,Black Alone,census-h5-median-hh-income-black-nation,55500
2016,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,89000
2015,Black Alone,census-h5-median-hh-income-black-nation,55200
2015,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,88200
2010,Black Alone,census-h5-median-hh-income-black-nation,53000
2010,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,85000
2005,Black Alone,census-h5-median-hh-income-black-nation,51000
2005,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,83000
2000,Black Alone,census-h5-median-hh-income-black-nation,49000
2000,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,81000
1995,Black Alone,census-h5-median-hh-income-black-nation,47000
1995,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,78000
1990,Black Alone,census-h5-median-hh-income-black-nation,45000
1990,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,76000
1985,Black Alone,census-h5-median-hh-income-black-nation,42000
1985,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,73000
1980,Black Alone,census-h5-median-hh-income-black-nation,40000
1980,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,70000
1975,Black Alone,census-h5-median-hh-income-black-nation,36000
1975,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,65000
1970,Black Alone,census-h5-median-hh-income-black-nation,33000
1970,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,61000
1967,Black Alone,census-h5-median-hh-income-black-nation,28000
1967,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,54000
