category_id,project_id,value,year,quarter,unit_of_measurement,cat,project,city,state
69,2473,838,1955,December,dwelling units,dwelling units- sub-standard,michael reese hospital,chicago,il
70,2473,78,1955,December,dwelling units,dwelling units- standard,michael reese hospital,chicago,il
72,2473,976,1955,December,families,non-white families,michael reese hospital,chicago,il
73,2473,54.3,1955,December,acres,proposed reuse of project land- total,michael reese hospital,chicago,il
69,2466,3137,1956,December,dwelling units,dwelling units- sub-standard,hyde park-kenwood,chicago,il
70,2466,935,1956,December,dwelling units,dwelling units- standard,hyde park-kenwood,chicago,il
72,2466,1965,1956,December,families,non-white families,hyde park-kenwood,chicago,il
73,2466,89.1,1956,December,acres,proposed reuse of project land- total,hyde park-kenwood,chicago,il
69,2473,836,1956,December,dwelling units,dwelling units- sub-standard,michael reese hospital,chicago,il
70,2473,80,1956,December,dwelling units,dwelling units- standard,michael reese hospital,chicago,il
72,2473,825,1956,December,families,non-white families,michael reese hospital,chicago,il
73,2473,54.3,1956,December,acres,proposed reuse of project land- total,michael reese hospital,chicago,il
69,2466,3137,1957,December,dwelling units,dwelling units- sub-standard,hyde park-kenwood,chicago,il
70,2466,935,1957,December,dwelling units,dwelling units- standard,hyde park-kenwood,chicago,il
72,2466,1965,1957,December,families,non-white families,hyde park-kenwood,chicago,il
73,2466,89.1,1957,December,acres,proposed reuse of project land- total,hyde park-kenwood,chicago,il
69,2473,836,1957,December,dwelling units,dwelling units- sub-standard,michael reese hospital,chicago,il
70,2473,80,1957,December,dwelling units,dwelling units- standard,michael reese hospital,chicago,il
72,2473,825,1957,December,families,non-white families,michael reese hospital,chicago,il
73,2473,55.1,1957,December,acres,proposed reuse of project land- total,michael reese hospital,chicago,il
69,2466,4199,1958,December,dwelling units,dwelling units- sub-standard,hyde park-kenwood,chicago,il
70,2466,1742,1958,December,dwelling units,dwelling units- standard,hyde park-kenwood,chicago,il
72,2466,2333,1958,December,families,non-white families,hyde park-kenwood,chicago,il
73,2466,111.6,1958,December,acres,proposed reuse of project land- total,hyde park-kenwood,chicago,il
69,2473,836,1958,December,dwelling units,dwelling units- sub-standard,michael reese hospital,chicago,il
70,2473,80,1958,December,dwelling units,dwelling units- standard,michael reese hospital,chicago,il
72,2473,825,1958,December,families,non-white families,michael reese hospital,chicago,il
73,2473,55.1,1958,December,acres,proposed reuse of project land- total,michael reese hospital,chicago,il
69,2466,4199,1959,December,dwelling units,dwelling units- sub-standard,hyde park-kenwood,chicago,il
