GEOID,RPL_EBM
17001010500,0.2879
17009970400,0.2233
17011965500,0.3796
17031825302,0.8208
17031827804,0.8837
17031828701,0.8406
17031825400,0.8388
17031827100,0.8223
17031827200,0.8452
17031829301,0.46
17031830100,0.5769
17031830400,0.4023
17031833000,0.9114
17031833300,0.8934
17031834600,0.8202
17031838600,0.7868
17031839500,0.8618
17031840300,0.9215
17031842800,0.9638
17033880400,0.6761
17033880600,0.2221
17043840101,0.9658
17043840705,0.8801
17043841314,0.8231
17043841320,0.3975
17043841404,0.2557
17043841604,0.7591
17043842100,0.3576
17043843601,0.5078
17043844305,0.6382
17043845510,0.3271
17043845701,0.6409
17043845808,0.8786
17097864901,0.5883
17099961900,0.4691
17099963900,0.6091
17103000100,0.7384
17105960900,0.4661
17111870404,0.2945
17111870812,0.1191
17111871313,0.7434
17113000108,0.4349
17113002101,0.4355
17115002001,0.4641
17117956600,0.5822
17119400801,0.5777
17119402300,0.8914
17121952000,0.7572
17135957500,0.3903
17137951900,0.3412
17141961200,0.3064
17143000900,0.7616
17143001200,0.7881
17143001500,0.8288
17143001800,0.7842
17143004101,0.3167
17147954500,0.2968
17031030900,0.936
17031031900,0.6434
17031061000,0.6672
17031062500,0.9225
17031081201,0.914
17031140400,0.9338
17031140601,0.8742
17031151200,0.5493
17031160501,0.7505
17031190402,0.5011
17031210602,0.8642
17031221600,0.9353
17031240900,0.7653
17031242600,0.7206
17031242900,0.8062
17031251100,0.8435
17031251300,0.6493
17031251400,0.4911
17031270500,0.9002
17031300700,0.8105
17031301600,0.8679
17031301803,0.9544
17031381200,0.5587
17031381800,0.5789
17031711400,0.755
17031750500,0.5217
17031770601,0.9042
17031801605,0.7701
17031801606,0.7049
17031802609,0.8622
17031803017,0.3213
17031803603,0.3658
17031803902,0.6514
17031804509,0.8482
17031804603,0.5329
17031805001,0.5982
17031805802,0.6174
17031806400,0.8274
17031810600,0.613
17031811302,0.9351
17031811900,0.8098
17031813702,0.9268
17031814300,0.793
17031815500,0.7386
17031816000,0.6178
17031804810,0.5838
17031805111,0.8659
17031805112,0.9716
17031310600,0.8302
17031330200,0.77
17031816700,0.9259
17031817200,0.8151
17031820204,0.8852
17127970100,0.7485
17131040400,0.2875
17135957700,0.7278
17137952000,0.616
17141961500,0.5994
17145030400,0.3288
17155954500,0.5003
17157951202,0.2074
17161022200,0.8597
17161022800,0.8694
17163501605,0.6867
17163501700,0.5259
17163502401,0.8526
17163503304,0.4156
17163503411,0.5401
17163504357,0.5304
17163504359,0.1673
17167001900,0.522
17167003100,0.3613
17171970600,0.2065
17177001000,0.225
17043841605,0.9932
17043841606,0.8685
17043843200,0.9429
17163501606,0.4964
17163503202,0.6947
17163503203,0.4895
17163503404,0.3364
17163503416,0.2205
17165955900,0.3052
17167000300,0.8993
17167002002,0.0749
17167003201,0.2017
17167003802,0.2657
17173959200,0.4688
17179021900,0.4674
17181950100,0.2263
17183000800,0.5378
17183010900,0.7389
17183011100,0.2544
17187870200,0.3737
17193958300,0.3704
17195000300,0.4543
17197880119,0.3117
17197880314,0.4164
17197880701,0.4761
17197881006,0.1957
17197881116,0.2052
17201001300,0.8607
17201001500,0.7546
17201003708,0.9654
17201003801,0.285
17201003806,0.2374
17201003810,0.2467
17201004004,0.8323
17201004200,0.4432
17043846701,0.9215
17045070300,0.4095
17057953200,0.4664
17077011701,0.1271
17079977300,0.2155
