# Normalized state race totals, 1790-1990 — parse target for censusStateDecades.
#
# SOURCE (public domain, 17 U.S.C. §105):
#   U.S. Census Bureau, Population Division Working Paper No. 56 (twps0056),
#   Gibson & Jung (2002), Tables 15–65 (one sheet per state / D.C.).
#   Landing page: https://www.census.gov/library/working-papers/2002/demo/POP-twps0056.html
#   Machine artifact: https://www2.census.gov/library/working-papers/2002/demo/pop-twps0056/tabs15-65.xlsx
#
# DERIVATION: NUMBER block, first main decade row only (skip Sample / 15% / 5% subrows).
#   Not every state appears every decade (admission / coverage). Free/Slave columns only when
#   they reconstitute Black within ±5. State Black sums per decade equal the committed national
#   CSV exactly (validated by packages/firebase/scripts/derive-twps0056-state.py).
#
# Columns: stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
01,Alabama,1800,1250,517,23,494
01,Alabama,1810,9046,2624,59,2565
01,Alabama,1820,127901,42450,571,41879
01,Alabama,1830,309527,119121,1572,117549
01,Alabama,1840,590756,255571,2039,253532
01,Alabama,1850,771623,345109,2265,342844
01,Alabama,1860,964201,437770,2690,435080
01,Alabama,1870,996992,475510,,
01,Alabama,1880,1262505,600103,,
01,Alabama,1890,1513401,678489,,
01,Alabama,1900,1828697,827307,,
01,Alabama,1910,2138093,908282,,
01,Alabama,1920,2348174,900652,,
01,Alabama,1930,2646248,944834,,
01,Alabama,1940,2832961,983290,,
01,Alabama,1950,3061743,979617,,
01,Alabama,1960,3266740,980271,,
01,Alabama,1970,3444165,903467,,
01,Alabama,1980,3893888,996335,,
01,Alabama,1990,4040587,1020705,,
02,Alaska,1960,226167,6771,,
02,Alaska,1970,300382,8911,,
02,Alaska,1980,401851,13643,,
02,Alaska,1990,550043,22451,,
04,Arizona,1860,6482,21,,
04,Arizona,1870,9658,26,,
04,Arizona,1880,40440,155,,
04,Arizona,1890,88243,1357,,
04,Arizona,1900,122931,1848,,
04,Arizona,1910,204354,2009,,
04,Arizona,1920,334162,8005,,
04,Arizona,1930,435573,10749,,
04,Arizona,1940,499261,14993,,
04,Arizona,1950,749587,25974,,
04,Arizona,1960,1302161,43403,,
04,Arizona,1970,1770900,53344,,
04,Arizona,1980,2718215,74977,,
04,Arizona,1990,3665228,110524,,
05,Arkansas,1810,1062,138,2,136
05,Arkansas,1820,14273,1676,59,1617
05,Arkansas,1830,30388,4717,141,4576
05,Arkansas,1840,97574,20400,465,19935
05,Arkansas,1850,209897,47708,608,47100
05,Arkansas,1860,435450,111259,144,111115
05,Arkansas,1870,484471,122169,,
05,Arkansas,1880,802525,210666,,
05,Arkansas,1890,1128211,309117,,
05,Arkansas,1900,1311564,366856,,
05,Arkansas,1910,1574449,442891,,
05,Arkansas,1920,1752204,472220,,
05,Arkansas,1930,1854482,478463,,
05,Arkansas,1940,1949387,482578,,
05,Arkansas,1950,1909511,426639,,
05,Arkansas,1960,1786272,388787,,
05,Arkansas,1970,1923295,352445,,
05,Arkansas,1980,2286435,373768,,
05,Arkansas,1990,2350725,373912,,
06,California,1850,92597,962,,
06,California,1860,379994,4086,,
06,California,1870,560247,4272,,
06,California,1880,864694,6018,,
06,California,1890,1213398,11322,,
06,California,1900,1485053,11045,,
06,California,1910,2377549,21645,,
06,California,1920,3426861,38763,,
06,California,1930,5677251,81048,,
06,California,1940,6907387,124306,,
06,California,1950,10586223,462172,,
06,California,1960,15717204,883861,,
06,California,1970,19953134,1400143,,
06,California,1980,23667902,1819281,,
06,California,1990,29760021,2208801,,
08,Colorado,1860,34277,46,,
08,Colorado,1870,39864,456,,
08,Colorado,1880,194327,2435,,
08,Colorado,1890,413249,6215,,
08,Colorado,1900,539700,8570,,
08,Colorado,1910,799024,11453,,
08,Colorado,1920,939629,11318,,
08,Colorado,1930,1035791,11828,,
08,Colorado,1940,1123296,12176,,
08,Colorado,1950,1325089,20177,,
08,Colorado,1960,1753947,39992,,
08,Colorado,1970,2207259,66411,,
08,Colorado,1980,2889964,101703,,
08,Colorado,1990,3294394,133146,,
09,Connecticut,1790,237946,5572,2808,2764
09,Connecticut,1800,251002,6281,5330,951
09,Connecticut,1810,261942,6763,6453,310
09,Connecticut,1820,275248,7967,7870,97
09,Connecticut,1830,297675,8072,8047,25
09,Connecticut,1840,309978,8122,8105,17
09,Connecticut,1850,370792,7693,,
09,Connecticut,1860,460147,8627,,
09,Connecticut,1870,537454,9668,,
09,Connecticut,1880,622700,11547,,
09,Connecticut,1890,746258,12302,,
09,Connecticut,1900,908420,15226,,
09,Connecticut,1910,1114756,15174,,
09,Connecticut,1920,1380631,21046,,
09,Connecticut,1930,1606903,29354,,
09,Connecticut,1940,1709242,32992,,
09,Connecticut,1950,2007280,53472,,
09,Connecticut,1960,2535234,107449,,
09,Connecticut,1970,3031709,181177,,
09,Connecticut,1980,3107576,217433,,
09,Connecticut,1990,3287116,274269,,
10,Delaware,1790,59096,12786,3899,8887
10,Delaware,1800,64273,14421,8268,6153
10,Delaware,1810,72674,17313,13136,4177
10,Delaware,1820,72749,17467,12958,4509
10,Delaware,1830,76748,19147,15855,3292
10,Delaware,1840,78085,19524,16919,2605
10,Delaware,1850,91532,20363,18073,2290
10,Delaware,1860,112216,21627,19829,1798
10,Delaware,1870,125015,22794,,
