Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: p23stt06.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Imprisonment rates of adult U.S. residents, based on sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and race or Hispanic origin, 2013–2023",,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2023 – Statistical Tables   NCJ 310197,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2023 (preliminary), National Corrections Reporting Program, 2022, National Prisoner Statistics, 2013–2023, Survey of Inmates in State and Federal Correctional Facilities, 2004, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, postcensal resident population estimates for January 1 of the following calendar year",,,,,,,,,,,,,,,,,,,,,,
"Authors: Derek Mueller, PhD, and Rich Kluckow, DSW, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/30/25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Imprisonment rates of adult U.S. residents, based on sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and race or Hispanic origin, 2013–2023",,,,,,,,,,,,,,,,,,,,,,
,,"Per 100,000 adult U.S. residents",,,,,,,"Per 100,000 adult U.S. residents within each demographic group",,,,,,,,,,,,,
Year,,Total/a,,Federal/b,,State,,,Male,,Female,,White/c,,Black/c,,Hispanic,,American Indian/Alaska Native/c,,"Asian/c,d",
2013,,624,,80,,544,,,"1,194",,83,,295,,"1,818",,935,,"1,160",,126,
2014,,613,,78,,535,,,"1,171",,84,,290,,"1,749",,903,,"1,232",,125,
2015,,595,,72,,523,,,"1,135",,82,,281,,"1,659",,871,,"1,172",,124,
2016,,583,,68,,514,,,"1,110",,82,,275,,"1,599",,866,,"1,152",,122,
2017,,570,,66,,504,,,"1,085",,81,,272,,"1,543",,837,,"1,183",,118,
2018,,556,,64,,491,,,"1,056",,80,,268,,"1,488",,804,,"1,165",,116,
2019,,539,,62,,477,,,"1,024",,77,,263,,"1,436",,763,,"1,175",,111,
2020,,458,,55,,403,,,869,,61,,224,,"1,238",,641,,"1,030",,93,
2021,,448,,56,,393,,,850,,60,,222,,"1,186",,619,,"1,004",,90,
2022,,454,,56,,398,,,862,,62,,229,,"1,196",,603,,"1,042",,88,
2023,,460,,54,,405,,,871,,64,,231,,"1,218",,606,,"1,045",,88,
Percent change,,,,,,,,,,,,,,,,,,,,,,
,2022–2023,1.2,%,-2.7,%,1.8,%,,1.1,%,3.2,%,0.9,%,1.9,%,0.5,%,0.3,%,-0.3,%
,2013–2023,-26.3,,-32,,-25.5,,,-27,,-22.9,,-21.6,,-33,,-35.2,,-9.9,,-30.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Imprisonment rate is the number of sentenced prisoners age 18 or older under state or federal jurisdiction per 100,000 U.S. residents age 18 or older or per 100,000 U.S. residents age 18 or older in a given category. Rates are for December 31 of each year and are based on prisoners with a sentence of more than 1 year. Resident population estimates are from the U.S. Census Bureau for January 1 of the following year. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons. Rates for 2022 and earlier may have been revised from previous reports due to revisions in population estimates for U.S. residents or the correctional population.",,,,,,,,,,,,,,,,,,,,,,
a/Includes persons of two or more races and other races that are not shown separately.,,,,,,,,,,,,,,,,,,,,,,
b/Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,,,,,,,,,,,,
"c/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,,,,,,,,,,,,,,
"d/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2023 (preliminary), National Corrections Reporting Program, 2022, National Prisoner Statistics, 2013–2023, Survey of Inmates in State and Federal Correctional Facilities, 2004, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, postcensal resident population estimates for January 1 of the following calendar year.",,,,,,,,,,,,,,,,,,,,,,
