Year,Race,RatePer1000LiveBirths
1915,Black,195.2
1915,White,98.6
1916,Black,184.3
1916,White,99
1917,Black,173.4
1917,White,98.2
1918,Black,162.5
1918,White,97.4
1919,Black,134.3
1919,White,83
1920,Black,135.6
1920,White,82.1
1921,Black,110.7
1921,White,72.5
1922,Black,111.6
1922,White,73.2
1923,Black,119.9
1923,White,73.5
1924,Black,114.1
1924,White,66.8
1925,Black,112
1925,White,68.3
1926,Black,112.1
1926,White,70
1927,Black,99.9
1927,White,60.6
1928,Black,105.9
1928,White,64
1929,Black,101.5
1929,White,63.2
1930,Black,99.5
1930,White,60.1
1931,Black,92.7
1931,White,57.4
1932,Black,84.1
1932,White,53.3
1933,Black,85.4
1933,White,52.8
1934,Black,91
1934,White,54.5
1935,Black,81.9
1935,White,51.9
1936,Black,86.1
1936,White,52.9
1937,Black,82
1937,White,50.3
1938,Black,77.9
1938,White,47.1
1939,Black,73.2
1939,White,44.3
1940,Black,72.9
1940,White,43.2
1941,Black,74.1
1941,White,41.2
1942,Black,64.2
1942,White,37.3
1943,Black,61.5
1943,White,37.5
1944,Black,59.3
1944,White,36.9
1945,Black,56.2
1945,White,35.6
1946,Black,48.8
1946,White,31.8
1947,Black,47.7
1947,White,30.1
1948,Black,45.7
1948,White,29.9
1949,Black,46.8
1949,White,28.9
1950,Black,43.9
1950,White,26.8
1951,Black,44.3
1951,White,25.8
1952,Black,46.9
1952,White,25.5
1953,Black,44.5
1953,White,25
1954,Black,42.9
1954,White,23.9
1955,Black,43.1
1955,White,23.6
1956,Black,42.4
1956,White,23.2
1957,Black,44.2
1957,White,23.3
1958,Black,46.3
1958,White,23.8
1959,Black,44.8
1959,White,23.2
1960,Black,44.3
1960,White,22.9
1961,Black,41.8
1961,White,22.4
1962,Black,42.6
1962,White,22.3
1963,Black,42.8
1963,White,22.2
1964,Black,42.3
1964,White,21.6
1965,Black,41.7
1965,White,21.5
1966,Black,40.2
1966,White,20.6
1967,Black,37.5
1967,White,19.7
1968,Black,36.2
1968,White,19.2
1969,Black,34.8
1969,White,18.4
1970,Black,33.3
1970,White,17.6
1971,Black,30.9
1971,White,17
1972,Black,30.3
1972,White,16.2
1973,Black,28.8
1973,White,15.6
1974,Black,27.5
1974,White,14.7
1975,Black,27
1975,White,14
1976,Black,26.4
1976,White,13.2
1977,Black,24.4
1977,White,12.2
1978,Black,23.9
1978,White,11.9
1979,Black,22.6
1979,White,11.3
1980,Black,22.2
1980,White,10.9
1981,Black,20.8
1981,White,10.3
1982,Black,20.5
1982,White,9.9
1983,Black,20
1983,White,9.6
1984,Black,19.2
1984,White,9.3
1985,Black,19
1985,White,9.2
1986,Black,18.9
1986,White,8.8
1987,Black,18.8
1987,White,8.5
1988,Black,18.5
1988,White,8.4
1989,Black,18.6
1989,White,8.1
1990,Black,18
1990,White,7.6
1991,Black,17.6
1991,White,7.3
1992,Black,16.8
1992,White,6.9
1993,Black,16.5
1993,White,6.8
1994,Black,15.8
1994,White,6.6
1995,Black,15.1
1995,White,6.3
1996,Black,14.7
1996,White,6.1
1997,Black,14.2
1997,White,6
1998,Black,14.3
1998,White,6
1999,Black,14.6
1999,White,5.8
2000,Black,14.1
2000,White,5.7
2001,Black,14
2001,White,5.7
2002,Black,14.4
2002,White,5.8
2003,Black,13.5
2003,White,5.72
2004,Black,13.25
2004,White,5.66
2005,Black,13.26
2005,White,5.73
2006,Black,12.9
2006,White,5.57
2007,Black,13.31
2007,White,5.63
2008,Black,12.67
2008,White,5.52
2009,Black,12.4
2009,White,5.33
2010,Black,11.46
2010,White,5.18
2011,Black,11.15
2011,White,5.12
2012,Black,10.87
2012,White,5.09
2013,Black,10.81
2013,White,5.07
