Year,Black,White,BlackLabel,WhiteLabel,Source,SourceUrl
1900,33.0,47.6,nonwhite,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
1910,35.6,50.3,nonwhite,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
1920,45.3,54.9,nonwhite,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
1930,48.1,61.4,nonwhite,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
1940,53.1,64.2,nonwhite,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
1950,60.8,69.1,nonwhite,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
1960,63.6,70.6,nonwhite,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
1970,64.1,71.7,Black,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
1980,68.1,74.4,Black,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
1990,69.1,76.1,Black,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
2000,71.8,77.3,Black,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
2010,75.1,78.9,Black,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
2015,75.5,78.9,Black,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
2016,75.3,78.9,Black,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
2017,75.3,78.8,Black,White,"NCHS, Death rates and life expectancy at birth (data.cdc.gov dataset w9j2-ggv5)",https://data.cdc.gov/d/w9j2-ggv5
2018,74.7,78.6,non-Hispanic single-race Black,non-Hispanic single-race White,"NCHS, United States Life Tables, 2018. National Vital Statistics Reports vol 69 no 12",https://www.cdc.gov/nchs/data/nvsr/nvsr69/nvsr69-12-508.pdf
2019,74.8,78.8,non-Hispanic single-race Black,non-Hispanic single-race White,"NCHS, United States Life Tables, 2019. National Vital Statistics Reports vol 70 no 19",https://www.cdc.gov/nchs/data/nvsr/nvsr70/nvsr70-19.pdf
2020,71.5,77.4,non-Hispanic single-race Black,non-Hispanic single-race White,"NCHS, United States Life Tables, 2020. National Vital Statistics Reports vol 71 no 1",https://www.cdc.gov/nchs/data/nvsr/nvsr71/nvsr71-01.pdf
2021,71.2,76.7,non-Hispanic single-race Black,non-Hispanic single-race White,"NCHS, United States Life Tables, 2021. National Vital Statistics Reports vol 72 no 12",https://www.cdc.gov/nchs/data/nvsr/nvsr72/nvsr72-12.pdf
