Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p23stat01.csv,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or Hispanic origin, December 31, 2023",,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2023 – Statistical Tables   NCJ 310197,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2023 (preliminary); and National Prisoner Statistics, 2023",,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Derek Mueller, PhD, and Rich Kluckow, DSW, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/30/25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or Hispanic origin, December 31, 2023",,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/Other Pacific Islander/a,Two or more races/a,Other/a,Unknown,Did not report,,,,,,,,,,,,,
"Federal/b,c,d",,"156,627","47,472","57,542","45,684","3,839","2,091",/,/,~,~,0,,,,,,,,,,,,,
State,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,"27,181","12,341","14,548",0,1,10,0,0,0,281,0,,,,,,,,,,,,,
,Alaska/c,"4,478","1,752",447,134,"1,790",238,/,/,/,39,78,,,,,,,,,,,,,
,Arizona,"34,473","12,494","5,542","13,613","1,915",175,0,0,595,88,51,,,,,,,,,,,,,
,Arkansas/e,"18,503","10,231","7,402",699,49,62,28,0,31,1,0,,,,,,,,,,,,,
,California,"95,962","19,150","26,520","44,166","1,111","1,145",336,~,"3,534",~,0,,,,,,,,,,,,,
,Colorado,"17,459","7,952","3,094","5,456",630,183,30,~,41,1,72,,,,,,,,,,,,,
,Connecticut,"11,099","3,122","4,666","3,206",39,64,0,0,0,2,0,,,,,,,,,,,,,
,Delaware,"4,867","1,462","2,782",283,0,8,0,0,0,7,325,,,,,,,,,,,,,
,Florida,"87,207","34,000","41,515","11,255",103,26,12,0,290,6,0,,,,,,,,,,,,,
,Georgia/d,"50,425","18,501","29,583","2,143",29,165,3,0,19,0,0,,,,,,,,,,,,,
,Hawaii,"3,942",872,201,95,20,545,"1,692",144,0,373,0,,,,,,,,,,,,,
,Idaho/f,"9,829","7,161",318,"1,434",390,74,/,/,/,331,121,,,,,,,,,,,,,
,Illinois,"29,828","9,641","16,169","3,726",42,107,0,81,/,62,0,,,,,,,,,,,,,
,Indiana,"25,088","14,482","7,632",830,52,81,13,209,46,"1,181",562,,,,,,,,,,,,,
,Iowa/g,"8,831","5,471","2,348",702,204,~,~,~,96,10,0,,,,,,,,,,,,,
,Kansas,"9,125","5,002","2,444","1,333",251,92,0,0,3,0,0,,,,,,,,,,,,,
,"Kentucky/g,h","19,175","14,433","4,037",372,19,0,0,252,40,18,4,,,,,,,,,,,,,
,Louisiana,"28,186","9,879","18,186",64,20,33,0,~,2,2,0,,,,,,,,,,,,,
,Maine,"1,873","1,510",196,~,54,9,0,30,/,40,34,,,,,,,,,,,,,
,Maryland/i,"16,236","3,476","11,651",840,66,68,18,/,94,23,0,,,,,,,,,,,,,
,"Massachusetts/c,j","6,002","2,307","1,816","1,679",37,109,~,~,~,54,0,,,,,,,,,,,,,
,Michigan/i,"32,986","13,590","16,269","1,410",333,114,15,"1,105",0,150,0,,,,,,,,,,,,,
,Minnesota,"8,725","3,948","3,287",441,806,227,/,/,/,16,0,,,,,,,,,,,,,
,Mississippi,"19,526","7,297","11,918",219,43,31,0,0,0,18,0,,,,,,,,,,,,,
,Missouri,"24,223","15,184","7,913",594,98,54,/,/,/,44,336,,,,,,,,,,,,,
,Montana/g,"4,985","3,394",138,178,"1,252",~,~,~,23,0,0,,,,,,,,,,,,,
,Nebraska,"5,931","2,858","1,695",938,317,48,7,/,61,7,0,,,,,,,,,,,,,
,Nevada/d,"10,463","3,764","3,536","2,767",236,218,138,0,0,4,0,,,,,,,,,,,,,
,New Hampshire,"2,115","1,713",162,155,8,5,0,~,45,27,0,,,,,,,,,,,,,
,New Jersey,"11,675","2,224","7,054","1,988",7,100,2,/,238,62,0,,,,,,,,,,,,,
,New Mexico,"5,586","1,361",360,"3,220",512,8,23,0,0,45,57,,,,,,,,,,,,,
,New York,"32,583","7,374","16,035","7,730",330,254,/,/,573,287,0,,,,,,,,,,,,,
,North Carolina,"30,685","12,570","15,315","1,909",584,92,~,~,~,215,0,,,,,,,,,,,,,
,North Dakota,"1,899",975,262,147,506,5,4,~,~,~,0,,,,,,,,,,,,,
,Ohio/k,"46,530","22,543","20,505","1,331",90,89,/,/,454,/,"1,518",,,,,,,,,,,,,
,Oklahoma,"22,283","11,042","6,162","1,906","1,890",98,32,~,126,108,919,,,,,,,,,,,,,
,Oregon/d,"12,316","9,063","1,147","1,582",367,199,42,~,~,6,0,,,,,,,,,,,,,
,Pennsylvania/i,"38,860","20,172","18,423",/,36,175,~,0,54,0,0,,,,,,,,,,,,,
,"Rhode Island/d,f,i","2,519",955,785,731,21,31,/,/,40,4,0,,,,,,,,,,,,,
,South Carolina/l,"16,453","6,268","9,547",482,35,20,2,/,99,0,0,,,,,,,,,,,,,
,South Dakota/l,"3,764","1,783",294,161,"1,473",31,4,/,18,0,0,,,,,,,,,,,,,
,Tennessee,"24,408","13,748","9,934",617,39,64,/,/,/,6,0,,,,,,,,,,,,,
,Texas,"149,264","49,666","48,476","50,239",69,607,0,0,207,0,0,,,,,,,,,,,,,
,Utah,"6,402","3,699",474,"1,355",369,71,166,0,0,268,0,,,,,,,,,,,,,
,Vermont,"1,334","1,024",129,137,12,8,0,6,13,5,0,,,,,,,,,,,,,
,Virginia/c,"27,442","11,676","14,583","1,001",36,118,0,0,~,28,0,,,,,,,,,,,,,
,Washington,"14,441","7,952","2,541","2,323",793,660,0,0,65,107,0,,,,,,,,,,,,,
,West Virginia/d,"5,800","4,866",823,63,2,3,1,43,0,0,0,,,,,,,,,,,,,
,Wisconsin,"22,418","7,379","7,626","2,437",904,241,0,0,/,"3,831",0,,,,,,,,,,,,,
,Wyoming/m,"2,212","1,658",111,258,168,7,4,0,2,4,0,,,,,,,,,,,,,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website (https://bjs.ojp.gov/library/publications/prisoners-2023-statistical-tables). Counts are based on prisoners with any sentence status and were provided by state and federal departments of corrections’ administrative record systems and may not reflect prisoners’ self-identification of race or Hispanic origin. State, federal, and national totals by race or Hispanic origin differ from other tables in this report due to adjustments that BJS made in other tables to correct for differences between administrative records and prisoner self-reported data on race or Hispanic origin. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons (FBOP).",,,,,,,,,,,,,,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,,,,,,,,,,,,,,
~Not applicable. Jurisdiction does not track this race or ethnicity.,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,,,,,,,,,,,,,,,,,
b/The FBOP does not separate persons of Hispanic origin from the individual race categories when reporting to the National Prisoner Statistics. BJS used data from the 2023 Federal Justice Statistics Program (preliminary) to estimate Hispanic origin. See Non-U.S. citizens in prison in the Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Asians, Native Hawaiians, and Other Pacific Islanders were combined into a single category and reported in the Asian category.",,,,,,,,,,,,,,,,,,,,,,,,,
d/The Department of Corrections (DOC) reported counts of prisoners by race that exceeded its jurisdiction population. Data in this table are those reported by the DOC.,,,,,,,,,,,,,,,,,,,,,,,,,
e/Does not collect data on two or more races.,,,,,,,,,,,,,,,,,,,,,,,,,
"f/Does not collect data on Native Hawaiians, Other Pacific Islanders, or persons of two or more races.",,,,,,,,,,,,,,,,,,,,,,,,,
"g/Asians, Native Hawaiians, and Other Pacific Islanders were combined into a single category and reported in the Other race category.",,,,,,,,,,,,,,,,,,,,,,,,,
h/Persons of two or more races are not separated by Hispanic origin.,,,,,,,,,,,,,,,,,,,,,,,,,
i/Persons of Hispanic origin may be undercounted due to data collection methods.,,,,,,,,,,,,,,,,,,,,,,,,,
j/Reported prisoners in 2023 in the Unknown race category who in years prior to 2021 may have been reported as Other.,,,,,,,,,,,,,,,,,,,,,,,,,
k/Counts based on in-state custody population plus persons held in privately operated prison facilities.,,,,,,,,,,,,,,,,,,,,,,,,,
l/Does not collect data on two or more races but includes these persons in the Other race category.,,,,,,,,,,,,,,,,,,,,,,,,,
m/Other includes persons of Middle Eastern/North African ancestry.,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2023 (preliminary); and National Prisoner Statistics, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,
